自動車メーカー,車種,型式,年式,エンジン,駆動方式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,スプリング付属,EDFC対応,減衰力調整(F/R),マウント(F/R),基準車高純正比 mm(F/R),スプリングレート Kgf/mm(F/R),自由長 mm(F/R),備考,注意事項,定価,SET価格
トヨタ,ヴェルファイア,GGH30W,2018/01～,3500,FF,ZG/VL/エグゼクティブラウンジ/エグゼクティブラウンジZ,サイドリフトアップシート装着車を除く,56891,,263320,VSTB8-A1SS2-qq-e-18k,VSTB8-A1SS2-qq-e-d-18k,4582202768552,VSTB8-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-40/-30,3.5/6.7,311/315,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
トヨタ,エスティマ,ACR50W,2006/01～2016/05,2400,FF,X/G/アエラスS,,56891,,263294,VSL98-A1SS2-qq-e-9k,VSL98-A1SS2-qq-e-d-9k,4582202769269,VSL98-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-25/-25,3.3/8.2,313/299,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
トヨタ,カローラルミオン,ZRE152N,2007/10～2015/12,1800,FF,1.8S/1.8Sエアロツアラー,,56891,,263284,VSC70-A1SS2-qq-e-10k,VSC70-A1SS2-qq-e-d-10k,4589533462401,VSC70-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-20/-35,2.6/3.2,289/335,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
トヨタ,プリウス,ZVW30,2009/05～2015/11,1800,FF,Sツーリングセレクション/Gツーリングセレクション,,56891,,263307,VSQ08-A1SS2-qq-e-19k,VSQ08-A1SS2-qq-e-d-19k,4582202768040,VSQ08-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-30/-35,2.4/3.0,318/335,リア:純正ダストブーツの加工が必要。<br>フロントアッパーマウント:フローティングタイプ(入力分離型)専用(参考グレード:G/Sのツーリングセレクション(G/Sのムーンルーフ装着車は未確認))<br>車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
トヨタ,プリウス,ZVW30,2011/12～2015/11,1800,FF,G/S/L,マイナーチェンジ後(2011/12～)車両専用,56891,,263308,VSQ08-A1SS2-qq-e-20k,VSQ08-A1SS2-qq-e-d-20k,4582202768040,VSQ08-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-30/-30,2.4/3.0,318/335,リア:純正ダストブーツの加工が必要。<br>フロントアッパーマウント:フローティングタイプ(入力分離型)専用(参考グレード:G/S/L(Gのムーンルーフ装着車、185/65-15装着車は未確認))<br>車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
トヨタ,マークX,GRX130,2009/10～2013/11,2500,FR,250G/250G Sパッケージ/250G Fパッケージ/250G リラックスセレクション,,42577,,263309,VSQ22-A1SS2-qq-e-18,VSQ22-A1SS2-qq-e-d-18,4582202767265,VSQ22-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-35/-35,5.0/5.8,277/309,AVSの機能は失われます。<br>車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,53000,57400
日産,ティーダ,C11,2004/09～2012/06,1500,FF,15S/15M/15G/アクシス,,56891,,263305,VSP58-A1SS2-qq-e-21k,VSP58-A1SS2-qq-e-d-21k,4582202769986,VSP58-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-25/-20,2.6/4.0,291/228,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
日産,ティーダ,JC11,2005/01～2010/07,1800,FF,18G,,56891,,263306,VSP58-A1SS2-qq-e-22k,VSP58-A1SS2-qq-e-d-22k,4582202769986,VSP58-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-30/-25,2.6/4.0,291/228,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
ホンダ,オデッセイ,RC1,2013/11～,2400,FF,アブソルート/アブソルートEX,,56891,,263291,VSHE4-A1SS2-qq-e-23k,VSHE4-A1SS2-qq-e-d-23k,4582202769887,VSHE4-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-25/-25,3.5/7.0,321/275,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
ホンダ,フィット,GE8,2007/10～2013/08,1500,FF,RS,,56891,,263283,VSB80-A1SS2-qq-e-10,VSB80-A1SS2-qq-e-d-10,4582202767227,VSB80-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-25/-30,2.2/2.3,334/310,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
ホンダ,フィット,GK3,2013/09～,1300,FF,13G/13G Fパッケージ/13G Lパッケージ/13G Sパッケージ,,56891,,263288,VSHD8-A1SS2-qq-e-11,VSHD8-A1SS2-qq-e-d-11,4582202767241,VSHD8-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-25/-25,2.2/2.3,334/310,純正バンプラバーを加工して再使用。<br>車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
ホンダ,フィット,GK5,2013/09～,1500,FF,15X/15X Lパッケージ,グレード:RSは適合未確認,56891,,263289,VSHD8-A1SS2-qq-e-12,VSHD8-A1SS2-qq-e-d-12,4582202767241,VSHD8-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-30/-30,2.2/2.3,334/310,純正バンプラバーを加工して再使用。<br>車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
ホンダ,フィットハイブリッド,GP5,2013/09～,1500,FF,ハイブリッド/ハイブリッド Fパッケージ/ハイブリッド Lパッケージ/ハイブリッド Sパッケージ,,56891,,263290,VSHD8-A1SS2-qq-e-13,VSHD8-A1SS2-qq-e-d-13,4582202767241,VSHD8-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-30/-35,2.2/2.3,334/310,純正バンプラバーを加工して再使用。<br>車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
マツダ,アクセラスポーツ,BLEFW,2009/06～2011/09,2000,FF,20C/20S,,56891,,263301,VSM98-A1SS2-qq-e-32k,VSM98-A1SS2-qq-e-d-32k,4582202769221,VSM98-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-30/-30,2.8/2.4,277/314,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
マツダ,アクセラスポーツ,BLFFW,2011/09～2013/11,2000,FF,20Cスカイアクティブ/20Sスカイアクティブ,,56891,,263302,VSM98-A1SS2-qq-e-33k,VSM98-A1SS2-qq-e-d-33k,4582202769221,VSM98-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-35/-20,2.8/2.4,277/314,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
マツダ,アクセラスポーツ,BMEFS,2013/11～2016/07,2000,FF,20S/20Sツーリング/20Sツーリング Lパッケージ,,56891,,263304,VSMA8-A1SS2-qq-e-34k,VSMA8-A1SS2-qq-e-d-34k,4582202768767,VSMA8-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-30/-35,2.7/3.2,310/340,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
マツダ,アクセラセダン,BLEFP,2009/06～2011/09,2000,FF,20C/20E,,56891,,263303,VSM98-A1SS2-qq-e-35k,VSM98-A1SS2-qq-e-d-35k,4582202769221,VSM98-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-30/-30,2.8/2.4,277/314,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
マツダ,アテンザスポーツ,GG3S,2002/05～2007/12,2300,FF,23S/23C/23Z,ハイトアップ仕様車は取り付け未確認<br>セルフレベリングサスペンション装着車への取付不可,56891,,263295,VSM68-A1SS2-qq-e-36k,VSM68-A1SS2-qq-e-d-36k,4582202768583,VSM68-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-25/-20,4.3/4.0,337/307,車体番号115928以降の車両に装着時は、フロントのダウン量が-15mmとなります。<br>車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
マツダ,アテンザスポーツ,GH5FS,2008/01～2012/11,2500,FF,25Z/25S/25EX,,56891,,263299,VSM94-A1SS2-qq-e-37k,VSM94-A1SS2-qq-e-d-37k,4582202768811,VSM94-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-30/-25,5.0/5.0,338/300,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
マツダ,アテンザスポーツワゴン,GH5FW,2008/01～2012/11,2500,FF,25Z/25S/25EX,,56891,,263300,VSM94-A1SS2-qq-e-38k,VSM94-A1SS2-qq-e-d-38k,4582202768811,VSM94-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-35/-30,5.0/5.0,338/300,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
マツダ,デミオ,DE3FS,2007/07～2014/08,1300,FF,13C/13S/13C-V/13F,,56891,,263297,VSM90-A1SS2-qq-e-40k,VSM90-A1SS2-qq-e-d-40k,4589533460117,VSM90-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-35/-50,2.4/2.0,309/316,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
マツダ,デミオ,DE5FS,2007/07～2014/08,1500,FF,15C/スポーツ,,56891,,263298,VSM90-A1SS2-qq-e-41k,VSM90-A1SS2-qq-e-d-41k,4589533460117,VSM90-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-35/-35,2.4/2.0,309/316,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
マツダ,デミオ,DEJFS,2011/06～2014/08,1300,FF,13スカイアクティブ,,56891,,263296,VSM90-A1SS2-qq-e-39k,VSM90-A1SS2-qq-e-d-39k,4589533460117,VSM90-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-45/-35,2.4/2.0,309/316,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
